date,section_group,n_transcript_sentences,n_minutes_sentences,semantic_recall,semantic_precision
20090429,ECON,1205,165,0.4541507,0.6013754
20090624,ECON,692,193,0.4878278,0.58247185
20090812,ECON,1029,187,0.48163027,0.6011493
20090923,ECON,1106,183,0.4788705,0.6018492
20091104,ECON,1061,169,0.4823153,0.6024072
20091216,ECON,898,205,0.49753052,0.6035552
20100127,ECON,108,159,0.49107382,0.51124007
20100316,ECON,768,149,0.47437468,0.5938678
20100428,ECON,1164,155,0.4709846,0.60360783
20100623,ECON,1097,183,0.47308165,0.6016569
20100810,ECON,1071,182,0.47768244,0.5976606
20100921,ECON,923,163,0.4559221,0.57639956
20101103,ECON,1125,171,0.46831566,0.58632255
20101214,ECON,879,182,0.497676,0.5962969
20110126,ECON,2404,199,0.4153231,0.616326
20110315,ECON,1993,175,0.4241158,0.6098704
20110427,ECON,1834,160,0.43981162,0.6182294
20110622,ECON,2208,158,0.42346787,0.59985936
20110809,ECON,1868,158,0.42375714,0.6097787
20110921,ECON,2194,164,0.41742545,0.604571
20111102,ECON,1799,165,0.44115174,0.6161492
20111213,ECON,2268,152,0.4079598,0.59960425
20120125,ECON,1478,165,0.4603836,0.6178995
20120313,ECON,1085,149,0.4805196,0.61558133
20120425,ECON,1360,156,0.4519525,0.6115718
20120620,ECON,1611,173,0.45408338,0.6031323
20120801,ECON,1414,158,0.44367993,0.5849933
20120913,ECON,1526,185,0.44792813,0.60070485
20121024,ECON,949,162,0.46904996,0.5911185
20121212,ECON,1326,180,0.46348062,0.59716755
20130130,ECON,1282,160,0.46384797,0.59827656
20130320,ECON,2999,144,0.4249559,0.6027445
20130501,ECON,1286,145,0.46002036,0.6096556
20130619,ECON,1465,187,0.4740311,0.619571
20130731,ECON,1006,152,0.4801896,0.59205055
20130918,ECON,1504,160,0.46701306,0.62808776
20131030,ECON,2149,152,0.45257157,0.62416893
20131218,ECON,1405,175,0.47349128,0.6190336
20140129,ECON,1187,144,0.44751048,0.5984968
20140319,ECON,1067,166,0.45832998,0.59142745
20140430,ECON,1017,141,0.44268516,0.588702
20140618,ECON,1205,166,0.46506494,0.5994582
20140730,ECON,1263,152,0.4434022,0.60167885
20140917,ECON,1210,163,0.46704897,0.6137095
20141029,ECON,1252,154,0.45821452,0.60196704
20141217,ECON,1344,146,0.4778875,0.6207117
20150128,ECON,2432,182,0.4422144,0.6236052
20150318,ECON,1102,144,0.48343146,0.58792573
20150429,ECON,1144,166,0.48160505,0.61488646
20150617,ECON,1176,167,0.4890449,0.6039583
20150729,ECON,1235,164,0.47518405,0.63432586
20150917,ECON,1110,162,0.48755676,0.6133451
20151028,ECON,1375,171,0.47256374,0.6112079
20151216,ECON,1224,173,0.4954656,0.6268432
20160127,ECON,1252,183,0.4647366,0.6291466
20160316,ECON,1362,184,0.48617002,0.63104767
20160427,ECON,1268,213,0.4810637,0.62246424
20160615,ECON,1402,189,0.4843316,0.61439955
20160727,ECON,1262,222,0.4872379,0.6199849
20160921,ECON,1225,185,0.48682576,0.60864604
20161102,ECON,1172,188,0.46244678,0.5968184
20161214,ECON,1295,201,0.4794263,0.599891
20170201,ECON,1193,196,0.45885426,0.61405355
20170315,ECON,946,184,0.5018363,0.6242351
20170503,ECON,1002,192,0.4956268,0.62901765
20170614,ECON,1046,188,0.49448764,0.6164184
20170726,ECON,1100,188,0.4969519,0.61770964
